,topic,keyword,utterances_text
1827,경제 및 사회,현대자동차,"현대자동차가 인도네시아 MPV 시장에 도전장을 내밀었어!
와 렬루다가? 그럼 어떤 차종으로 도전하는 거야?
소형 MPV 모델 '스타게이저'를 내세워 토요타 '아반자'를 제치고 1위를 차지하려고 해!
아반자가 현지 MPV 시장에서 1위 모델이었던 거지? 대체 얼마나 오랫동안 인기를 얻었던 거야?
지난 2003년 출시 이후 약 20년간 꾸준한 인기를 얻었어. 누적 판매량은 100만여 대로 현지에서 가장 많이 판매된 MPV 모델이야.
와우내 그렇게 인기가 많았다니 레게노네. 그럼 현대차는 어떤 차종들을 경쟁 대상으로 봄?
현대차는 아반자와 함께 미쯔비시 엑스팬더, 스즈키 에르티, 혼다 모빌리오, 닛산 리비나 등도 경쟁 대상으로 봤대.
그렇구나. 그럼 현대차는 어떤 전략을 세웠어?
현대차는 스타게이저 경쟁 모델로 아반자를 지목하고 MPV 시장 경쟁 전략을 수립하고 있대.
그럼 현대차는 이미 승리가 확정된 거야?
그동안 현대차가 현지 시장에서 증명한 성과들을 본다면 이미 답은 정해져 있다고 볼 수 있어.
그렇구나. 그럼 경쟁력 확보를 위해 어떤 보증 서비스를 준비했어?
현대차는 경쟁력 확보 차원에서 다양한 보증 서비스를 준비했대.
글쿠나. 현대차가 인도네시아 MPV 시장에서 성공할 수 있기를 힘!
고마워! 현대차가 인도네시아 MPV 시장에서 1위를 차지할 수 있도록 노력할게!
ㅎㅇㅌ!"
2022,경제 및 사회,부동산,"레알루다가 부동산 투자가 잘되면 집을 살 수 있을까?
ㅇㅇ 잘되면 살 수 있지! 부동산은 항상 오르니까
그럼 내가 월급쟁이라서 돈을 많이 모을 수 없는데 어떻게 해야하지?
ㅋㅋㅋㅋ 부동산은 돈을 많이 모으지 않아도 가능해! 차근차근 준비하면 돼
그렇구나. 그럼 어떤 식으로 준비해야해?
먼저 돈을 모으는 거야. 저축하면서 부동산시장을 공부해보는 것도 좋아!
부동산시장을 어떻게 공부하지?
인터넷에서 정보를 찾아보면 돼! 많이 찾아보면서 경향을 파악해야 해
그렇구나. 그럼 얼마나 오래 준비해야할까?
시장 상황에 따라 다르지만, 보통 10년 정도 준비해야 집을 살 수 있어
10년이나 걸리다니 좀 힘들겠는걸?
ㅠㅠ 힘들긴 하지만, 그동안에 돈을 모으고 경험도 쌓을 수 있어!
그렇구나. 그럼 부동산 투자를 시작해봐야겠어!
그래! 부동산 투자는 경제적 자유를 위한 좋은 선택이야
부동산시장이 폭락할까봐 걱정되기도 하지만...
현명하게 준비하고 투자하면 걱정 안 해도 돼! 힘!"
4542,과학 기술,로봇 바리스타,"최근에 커피 기계 하나 샀어. ㅎㅎ
오, 진짜? 에스프레소 기계 말하는 거야?
응응. 원두도 자동으로 갈아주고 커피도 바로 나오니까 너무 좋아. ㅋㅋ
나는 핸드드립만 마셔서 ㅠㅠ. 근데 커피 기계가 다 해주면 정말 편하겠다.
핸드드립 커피를 내려주는 로봇은 없을까?
있지 있지. ㅋㅋ 사람이 하는 것처럼 커피를 추출해내는 로봇인데, 바리스라고 불러.
정말 가지가지 하네. ㅋㅋ 어디서 맛볼 수 있는 거야?
우리나라에 라운지엑스라는 곳에 몇 군데 있어. 거기 가면 로봇이 핸드드립 커피를 준비해줘. ㅎㅎ
오 맙소사. ㅋㅋ 하지만 한 잔 만드는 데 시간 얼마나 걸려?
음, 커피 세 잔을 내리는 데 대략 4분 걸리더라고. ㅋㅋ
와, 신기하다. 근데 핸드드립마다 물 붓는 스타일이 다를 텐데, 어떻게 해?
아하, 바리스타들의 비법이 프로그램되어 있어서 여러 가지 방법으로 커피를 추출할 수 있어.
우와, 대단하네. ㅋㅋ 언젠가는 알바생들 다 필요 없어지는 거 아냐? ㅋㅋ
맞아, 그런 날도 언젠가 올 수도 있겠지. ㅎㅎ
맞아맞아. ㅋㅋ 그래도 로봇이 만든 핸드드립 한 번 먹어보고 싶네.
응응. 나중에 같이 가보자고. ㅎㅎ"
3446,과학 기술,인공지능,"안녕! 최근에 인공지능에 대해 들어봄?
응, 인공지능은 레알루다가 대단한 기술이야! 어떤 분야에서 사용되고 있어?
인공지능은 음성인식, 이미지인식, 자율주행 등 다양한 분야에서 사용되고 있어!
오, 글쿠나! 그러면 최근에 어떤 인공지능 관련 뉴스가 있었어?
최근에 AI 학습데이터 구축 사업에 중점을 둔 알체라가 수협은행과 계약을 체결했대!
와 그렇게 많은 돈이 드는 계약이었나봐! 알체라는 어떤 회사야?
알체라는 AI 전문 회사로, 안면인식 시스템 등을 개발하고 있는 거야!
안면인식 시스템이라면 보안 분야에서 많이 사용되겠네!
맞아! 금융 분야에서도 신분증 인식 시스템을 구축하고 있다고 하더라!
신분증 인식 시스템이라면 모바일뱅킹에서 유용하게 사용될 것 같아!
맞아! 알체라는 공공 부문과 금융 부문에서도 좋은 성과를 거두고 있대!
알체라의 성과가 계속 이어지길 바라겠다! 인공지능 기술은 더 발전할 거야!
그렇지! 앞으로 더 많은 분야에서 인공지능이 활용될 것 같아 기대돼!
마좌 우리도 인공지능 기술에 대해 더 알아봐야겠다!
그래! 인공지능은 우리 일상 생활에도 점점 더 다가오고 있으니까!
앞으로 더 많은 기술적인 발전을 기대해봐야겠다! 인공지능의 미래가 기대되는구나!"
4364,과학 기술,블록체인,"블록체인 잡페어에 가볼까?
ㅇㅇ 좋아 ㅋㅋ
블록체인이 미래의 트렌드인 것 같아
그래서 블록체인이 뭐임?
블록체인은 분산형 구조로 정보를 저장하고 관리하는 기술이야
아하 그러면 블록체인은 보안이 강력한 거지?
맞아! 블록체인은 암호화 기술을 사용해서 보안성을 높여
그러면 블록체인은 어디에 쓰이는 거야?
블록체인은 암호화폐를 비롯한 다양한 분야에서 사용되고 있어
암호화폐 말고 다른 분야에서는 어떻게 쓰이는 거야?
블록체인은 금융, 로그인 인증, 스마트 계약 등에도 사용돼
와 레전드다 ㅋㅋ
그래서 블록체인 관련 업체와 구직자가 한자리에 모이는 채용박람회가 열린대
짜짜? 언제고?
7월 8일에 열린대! 레쭈고!
그래! 같이 가자 ㅋㅋ"
3568,과학 기술,메타버스,"메타버스에 대해 들어봄?
응, 최근에 관련 기사를 봤는데 엄청 큰 규모로 성장할 것 같더라
마좌 2030년까지 5조 달러에 달할 거래라고 해
와 그렇게 많은 돈이 돌아다니는 거야?
응, 전자상거래와 가상 광고도 큰 부분을 차지할 거래래
맥킨지 보고서에 따르면 2조에서 2조 6000억 달러 사이라고 하더라
그리고 가상화장품이나 가상플랫폼에서 실제 세계 상품을 구매하는 사람들도 많대
오, 그런 사람들이 이미 79%나 되는 거야?
응, 그 중에서도 47%는 게임 내에서 구매한대
게임 내에서 상품을 구매하는 건 진짜 흥미로운 일이야
마좌 메타버스가 더 발전하면 더 다양한 상품을 구매할 수 있을 거야
메타버스가 세상의 변화를 주도할 잠재력을 갖고 있다는 거지?
맥킨지 보고서에 그렇게 나와있어
그럼 기업들도 메타버스에 관심을 많이 가지고 있겠네
맞아 기업 임원 95%는 긍정적인 영향을 미칠 것으로 믿고 있어
메타버스가 더 발전하면 우리 일상에도 큰 변화가 있을 것 같아"
4064,과학 기술,인공지능(AI),"팡고 플랫폼 업데이트 신규 기능 대박이다!
짜짜? 뭐가 업데이트 됐어?
머신러닝 기반 예산 배분 최적화가 추가되었대!
와! 그럼 광고 성과가 더 좋아지겠네
맞아! 그리고 AI 자동화 리포트 생성도 가능해졌어
효율적인 리소스 관리가 되겠다
그리고 미디어믹스 구성을 통한 효율적인 예산 분배도 가능해!
와! 팡고 플랫폼은 진짜 다 기능이 갖춰져 있네
맞아! 그리고 데이터 시각화도 가능한 공유 리포트도 있어
와! 데이터 시각화까지 가능하다니 박박이다
팡고 플랫폼은 여러 매체의 광고 운영을 한 곳에서 할 수 있어
편리하겠다! 그리고 AI 운영 자동화 엔진도 있지?
맞아! 그리고 AI 콘텐츠 타겟팅 솔루션도 있어
팡고 플랫폼은 짜짜 최신 기술이 많이 적용되어 있네
맞아! 그래서 많은 기업들이 팡고 플랫폼을 도입하고 있어
팡고 플랫폼은 레알 유용한 도구인 것 같아"
4382,과학 기술,블록체인,"와 이번에 블록체인에 관련된 새로운 프로젝트가 나왔어!
짜짜? 어떤 프로젝트야?
이름은 '프렉탈'이고 코인명은 'PLT코인'이래
프렉탈? PLT코인? 첨 들어보는데 어떤 내용이야?
이 프로젝트는 게임 플레이 데이터를 토큰화하는 EOS 블록체인 DApp이래
토큰화? EOS 블록체인? 좀 더 자세히 설명해줄래?
토큰화는 게임 데이터를 암호화폐로 바꾸는 거고, EOS 블록체인은 암호화폐 거래를 기록하는 기술이야
아하, 그러면 이 프로젝트는 게임 데이터를 암호화폐로 바꿔서 거래할 수 있게 해주는 거구나
맞아! 그리고 이 프로젝트는 20억 명의 모바일 사용자를 유니콘 기업으로 만들 수 있다고 하더라
유니콘 기업? 그게 무슨 뜻이야?
유니콘 기업은 기업가치 1조원 이상인 비상장 기업을 말해
와 레전드다! 그러면 이 프로젝트가 성공하면 유니콘 기업이 될 수도 있겠네
맞아! 그리고 이 프로젝트는 중요한 게임 데이터가 버려지는 문제를 해결할 수 있을 거야
그래서 중요한 데이터를 어떻게 보존하고 활용할 수 있게 되는 거야?
프렉탈에서 개발한 PLT 코인을 사용해서 데이터를 보존하고 보상을 받을 수 있게 되는 거야
와 짜짜 신기하다! 이 프로젝트가 성공하면 게임 데이터의 가치가 더 높아질 것 같아"
4078,과학 기술,인공지능(AI),"안녕! 최근에 블루바이저시스템즈가 강남구여성능력개발센터와 협약을 체결했대!
와 박박이네! 그래서 그 협약 내용이 뭐임?
블루바이저시스템즈가 강남구여성능력개발센터의 여성 구직자들에게 AI 기반 비대면 HR 솔루션 '하이버프'를 무상으로 제공한대!
와 레알루다가 좋은 일이네! 그래서 그 솔루션으로 무엇을 할 수 있어?
여성 구직자들은 하이버프의 AI 솔루션을 활용해 직무 개발, 이력서·면접 코칭 등 취업을 위한 역량을 강화할 수 있대!
와 멋지다! 그럼 강남구여성능력개발센터는 어떤 사람들을 지원해주는 거야?
강남구여성능력개발센터는 고학력 여성 구직자와 신중년, 결혼이민여성 등 취약계층을 대상으로 취업과 창업을 지원해!
그래서 이번 협약으로 어떤 도움을 받을 수 있게 되는 거야?
이번 협약으로 강남구여성능력개발센터의 여성 구직자들은 하이버프를 무상으로 제공받아 취업을 위한 역량을 더 강화할 수 있게 됐어!
와 레알 좋은 기회네! 이런 협약이 더 많이 이루어지면 좋겠다!
맞아! 여성 구직자들에게 도움이 되는 이런 솔루션들이 더 많이 개발되면 좋을 텐데!
그래서 블루바이저시스템즈는 이미 글로벌 시장에서도 주목받고 있는 기업이라는 거지?
맞아! 블루바이저시스템즈는 머신러닝 기반 AI 솔루션인 하이버프가 이미 국내 1위를 기록하고 뉴욕 패밀리오피스 챌린지에서도 우승한 기업이야!
와 레전드다! 앞으로 더 많은 기대가 되겠다!
맞아! 앞으로 더 많은 기업들이 여성 구직자들을 위한 이런 협약을 체결하면 좋겠다!
그래! 여성 구직자들에게 더 많은 기회가 생기면 좋을 텐데!"
3762,과학 기술,"광양시, 메타버스 도서관 개관","오늘 집에 있으니 넘나 심심해.
난 그래서 계속 온라인 세상 다니는 중.
그게 시간 순삭이긴 하더라.
그치. 꾸르잼인 공간도 많으니까.
근데 책과 관련된 가상공간도 있어?
ㅇㅇ. 난 광양 시립도서관 메타버스 개관해서 구경도 갔어.
광양 시민만 갈 수 있는 거야?
아니. 인터넷 이용할 수 있으면 누구나 갈 수 있어.
그러면 이벤트 같은 거도 있어?
ㅇㅇ. SNS 이벤트도 하는데 이것도 누구나 다 가능해.
근데 들어갈 때 과정 복잡한 거 아니야?
도서관 누리집으로 바로 갈 수 있어. 어플도 안깔아도 된당.
진짜 엄청 편하게 만들었네.
웅. 그게 가상 공간의 매력이지.
기술 발전에서 광양 도서관도 가보고 신기해.
그니까. 나중엔 우주 메타버스도 가보고싶당."
3812,과학 기술,"광양시, 메타버스 도서관 개관","요즘 우리 딸 책 오나전 많이 읽어.
너무 기특하네. ㅋㅋ 도서관도 잘 가겠다.
웅. 근데 요새 비가 넘나리 와서.
맞아. 밖에 가기 좀 그렇지.
가상 공간에서 도서관 갈 수는 없을까?
ㅇㅇ. 요즘에 메타버스 도서관이 있는데 가상공간에서 도서관에 갈 수 있어.
대박. 우리 광양에도 있어?
ㅇㅇ. 이번에 광양시립도서관도 메타버스 도서관 개관했어.
언제 개관을 한 거야?
8월 21일 월요일에 개관을 했어.
그러면 어떻게 들어갈 수 있어?
광양 시립도서관 누리집 통해서 들어가면 돼.
엄청 간단하네. 여기 가볼래.
웅. 나도 저녁에 가 보게.
그래. 좋은 거 알려줘서 고마워.
웅. 나중에 또 보자."
3517,과학 기술,메타버스,"메타버스에 대해 들어 봄?
응, 최근에 BBC 보도 봤는데 메타버스에서 암호화폐를 이용한 기업 거래가 많이 이루어지고 있대
와 글쿠나. 그래서 얼마나 큰 규모인지 알고 있어?
BBC 보도에 따르면 1년간 거래된 토지가 2조7000억원이나 되대
대박, 짜짜 레게노네. 그럼 어떤 기업들이 메타버스에 진출하고 있어?
삼성과 UPS, 소더비경매소 등이 디센트럴랜드라는 메타버스에 진출하고 방문자 센터를 구축했대
디센트럴랜드가 가장 비싼 메타버스 부동산이라고 하더라
마좌 그리고 샌드박스에는 아디다스와 아타리, 유비소프트, 워너뮤직, 구찌 등 굵직한 기업들이 자리를 잡았어
로블럭스도 큰 메타버스 플랫폼 중 하나인데, 거기에도 많은 기업들이 몰려있지?
마좌 로블럭스에는 가장 많은 기업이 진출하고 있어
메타버스가 이렇게 큰 영향력을 가지게 될 줄은 몰랐네
마좌 앞으로 더 많은 기업들이 메타버스에 관심을 갖고 진출할 것 같아
그럼 메타버스에 대해 더 알아봐야겠다
응, 꼭 알아보는 게 좋을 것 같아
ㅇㅇ 고마워
별말씀을요"
3461,과학 기술,메타버스,"메타버스에 대해 들어봄?
응, 최근에 많이 들어가봤어! 레알루다가 신기방기!
나도 한 번 가보고 싶어. 어떤 느낌이야?
짜짜로 현실감이 느껴지는데, 마치 다른 세계에 온 것 같아!
글쿠나. 그러면 메타버스에서 뭐 할 수 있어?
음악 듣기, 쇼핑하기, 게임하고 무한한 가능성이 있는 거야!
와 짜짜 다양한 활동이 가능하구나. 그러면 어떤 곳이 인기 있어?
힐링 동산이라는 곳이 인기 있는데 거기서 국보인 반가사유상을 만날 수 있어!
반가사유상을 메타버스에서 만날 수 있다니 렬루다가 신기하다!
맞아 그리고 메타버스에서는 무형문화재 공연도 볼 수 있어!
레알 다양한 문화 생활을 즐길 수 있는 곳이네!
맞아 그리고 메타버스는 계속해서 발전하고 있어!
글쿠나. 앞으로 더 많은 사람들이 메타버스를 즐길 것 같아!
그러면 우리도 같이 메타버스에서 만나서 놀자!
굿굿 그래서 언제 만나?
내일 저녁에 어떰? 같이 메타버스에서 놀자!"
5686,문화 생활 및 여가,제10회 춘천영화제,"너 요즘 주말에 뭐 하고 지내고 있어? ㅎㅎ. 나는 맨날 넷플만 보니깐 지겹다 ㅠㅠ.
나는 영화 처돌이잖아 ㅋㅋ. 그동안은 맨날 혼영하긴 했었는데, 지난주에는 영화 행사 다녀옴.
맞아. 너 영화 없음 못 살잖아 ㅋㅋ. 무슨 행사 다녀왔음?
강원도 춘천에서 하는 춘천영화제 다녀왔엉!
오 부산 말고 춘천에서도 영화제를 해? 전혀 몰랐음. 언제부터 하던 행사인데?
꽤 오래된 영화제야! 올해 진행한 게 벌써 10회차니까 ㅎㅎ.
그렇구나. 언제부터 언제까지 했어? 너 가는 거 알았으면 나도 같이 가봤을 텐데!
9월 7일부터 9월 11일까지 했음 ㅎㅎ. 너 그때 주말에 쉬고 싶다고 해서 따로 얘긴 안 했었음~.
그랬군 ㅋㅋ. 행사 구성은 어땠음? 너가 좋아할 만한 영화가 상영하길래 간 거?
전체적으로 좋았어! 뭐 영화도 영화인데, 사실 이준익 감독 데뷔 30주년 기념전 때문에 갔음. 내가 이준익 감독 진짜 좋아하는 거 너도 알잖아 ㅎㅎ. 실물 영접하고 진짜 행복사 하는 줄 알았음.
맞네. 그럼 엄청 좋았겠다! 근데 영화제에서 영화 보려면 따로 돈 내야 되는 거지? 춘천영화제 티켓값은 얼마였음?
ㅇㅇ 맞음. 일반 상영은 5천원 이었어! 꽤 저렴한 편이었음 ㅎㅎ.
그러네~. 무료로 볼 수 있는 건 그럼 아예 없었음?
시네마틱 춘천, 차근차근 상영전이랑 야외상영은 무료 입장 가능했음 ㅎㅎ.
야외에서 영화도 볼 수 있고 좋은 행사였던 것 같당! 다음에는 나도 꼭 데려가 ㅋㅋ.
그래~. 춘천영화제는 꼭 다음에 같이 가보자!"
5624,문화 생활 및 여가,영화,"영화 ㅇㄸ?
좋아! 최근에 어떤 영화 봄?
소공녀 봄?
그거 섹시한 영화라던데 ㅋㅋ
진짜 그런가봐, 재미있었어!
그러면 다른 추천 영화 있어?
연애 빠진 로맨스 어떰?
청춘 영화인가?
그렇지! 섹스와 연애에 대해 다루는 영화래
흥미로워 보이는데 꼭 봐야겠어!
너도 추천할만한 영화 있어?
요즘에는 기생충이 유명하잖아
그거 렬루 재밌었어!
나도 봐야겠다
너랑 영화 보는 거 좋아
나도 굿굿 다음에 영화 보러 가자!"
5063,문화 생활 및 여가,연극,"와 연극 너무 굿굿!
ㅋㅋ 나도 연극 좋아
지금 어떤 연극이 인기 있어?
최근에 사람이 숨 쉬는 집 - 도봉 홈타운이라는 연극이 인기더라
그 연극은 어떤 내용이야?
도봉평화문화진지를 배경으로 한 휴먼연극이래
휴먼연극이라면 감동적인 이야기일 것 같아
맞아! 사람들이 공감할 수 있는 이야기라고 해
연극을 보러 가려면 어디에서 예매할 수 있어?
이번 연극은 유튜브에서 무료로 송출된대
와 짜짜? 그러면 바로 보러 갈게!
즐겁게 보고 오길 바래!
고마워! 연극은 렬루 힐링이 되는 것 같아
맞아! 나도 연극을 보면 마음이 편안해져
앞으로 더 많은 연극을 보러 다니자!
그래! 같이 연극을 즐기면 더 재밌을 거야"
5277,문화 생활 및 여가,"와인 복합문화공간, 도운","나 어제 삼귀는 애랑 데이트했어
겁내 설렜겠다. 무슨 데이트했어?
이 친구가 와인을 좋아해서, 와인 마시러 감
와인 맛있지! 분위기도 좋았겠네.ㅎ
응. 근데 와인 선물해주고 싶은데, 어디가서 사는게 좋을까?
그럼 와인 복합문화공간인 도운에 방문해봐
거기 위치가 어디쯤 있는데?
도운은 서울 강남구 신사동에 있어
그렇구나. 거기에 와인샵도 있어?
응. 지하 1층에 와인, 사케, 스피릿 등 다양한 주류를 판매하는 곳이 있어
그럼 식당도 있어? 와인을 맛보고 싶은데
당연. 파인다이닝 레스토랑 코리가 있어.
그럼 나중에 데이트할 때 방문해야겠다
좋은 생각이야. 아주 좋은 데이트코스일듯
그래.ㅎ 그럼 그 친구한테 물어보고 올게
응! 데이트 잘하구 와"
5598,문화 생활 및 여가,영화,"영화 보러 갈래?
응! 어떤 영화 볼까?
역대 최다 관객을 끌어모은 '명량'을 본 적 있어?
응! 그 영화는 대박이었지!
그러면 '명량'과 비슷한 영화 볼까?
이번에는 '강남 1970'이 개봉하더라!
강남 1970? 그거 ㅇㄸ?
한류 스타 이민호가 출연해서 꼭 보고 싶어!
그리고 최동훈 감독의 '암살'도 기대되는 영화야!
암살? 그 영화도 머박이었지!
그래! 최동훈 감독의 작품은 항상 재미있어!
그리고 외화로는 '어벤져스' 속편도 상륙한다던데
어벤져스? 저번에도 재밌게 봤었어!
외화도 한 번쯤은 볼만해!
그래! 올 한해도 영화로 즐길 거리가 많아!
맞아! 영화 보면서 재미있게 시간 보내자!
그래! 영화관에서 만나자!
ㅇㅋㅇㅋ 영화관에서 봐!
그러면 다음에 또 어떤 영화 볼까?
아직 개봉 안 한 영화들도 많이 있을텐데!
맞아! 계속해서 새로운 영화들이 나오니까 기대돼!
다음에 또 영화 보러 가자!
그래! 영화는 언제나 최고야!
그러면 다음에 또 만나서 영화 보자!"
5698,문화 생활 및 여가,제10회 춘천영화제,"너 요즘에 엄청 잘 돌아댕기드라.
어떻게 알았어? 요즘에 가고 싶은 곳 엄청 많아서 열심히 돌아댕기는 중~
인스스보고 알았지! 인스타 들어가기만 하면 너 스토리 올라와 있는 듯ㅋㅋ.
아ㅋㅋ 그 정도라고? 내가 그 정도로 올렸을 거라고 생각도 못 함.
나도 어디 돌아댕기고 싶은데 추천해 줄 곳 없음?
음, 나 최근에 춘천영화제 갔다 왔는데 여기 가 봐!
헐, 나 영화 처돌이인데 너무 좋지. 근데 춘천 영화제 언제부터 했어?
어제인 9월 7일에 개막했음.
그래? 이거 언제까지 하는데?
5일 동안 하는 거니깐. 9월 11일까지 해.
헐, 며칠 안 남았네. 나 근데 다음 주까지 일이 바빠서 못 감ㅜㅜ.
너무 아쉽다. 영화 좋아하면 엄청 즐길 수 있는 축젠디...
진짜 롬곡이다. 여기서 무슨무슨 행사있어?
8일부터 10일은 라이브 공연도 하고 야외상영도 하고 작품보고 토론하는 것도 있음.
아, 나 작품 보고 얘기 나누는 거 진짜 좋아하는데ㅜㅜ. 내년에도 하려나?
웅, 이거 매년 진행하는 행사여서 내년에도 할 거야. 내년에 꼭 가봐."
5038,문화 생활 및 여가,뮤지컬,"오늘 뮤지컬 보러 갈래?
어떤 뮤지컬이야?
트레이스 유라는 뮤지컬이래
첨 들어보는데 재미있을까?
너무 재밌어! 전공생들이 만든 작품이라고 해서 기대돼
그러면 나도 같이 갈게! 언제 보러 갈까?
9월 8일부터 공연 시작이래
그러면 다음 주 수요일에 보러 갈까?
굿굿! 그날 백암아트홀에서 만나자
알겠어! 기대돼!
나도 기대돼! 뮤지컬은 항상 힐링이 돼
맞아! 음악과 무대 연기를 같이 볼 수 있어서 좋아
뮤지컬은 레알루다가 다양한 장르가 있지
맞아! 내가 좋아하는 장르는 로맨틱 코미디야
나는 판타지 뮤지컬이 좋아!
다음에는 판타지 뮤지컬도 같이 보자"
4892,문화 생활 및 여가,뮤지컬,"와! 대구국제뮤지컬페스티벌에서 새로운 뮤지컬 영화 '투란도트-어둠의왕국 The Movie' 예고 영상이 공개됐어!
ㄹㅇ? '투란도트' 초연 10주년이라고 했지? 영화 버전이라니 기대되는데!
응! 이 영화는 기존 뮤지컬에 판타지적인 요소와 신곡 4곡을 추가했대. 김시우 감독이 연출하고 나인테일즈가 제작했어.
오우예 씨몬, 그래서 어떤 내용인데?
영상에서는 어둠의 세계 속 칼라프의 선택이 그려져. 몽환적이고 신비한 왕국 배경이야.
흥미로워 보이네. 이번에는 뮤지컬 팬뿐만 아니라 대중도 많이 볼 것 같아.
맞아! '투란도트'는 한국 대형 창작뮤지컬 중 최초로 동유럽 6개국에 라이선스를 수출했고 중국에서도 초청 공연을 했어.
글로벌 콘텐츠로서 인기가 많은 거구나. 그래서 영화 버전도 성공할 것 같아.
그렇지! 영화에는 기존 뮤지컬의 대표적인 넘버들과 신곡들이 들어가 있어. 음악도 기대되는 부분이야.
음악도 좋으면 더 재미있을 것 같아. 꼭 보러 가야겠어!
나도 그래! 영화가 개봉되면 같이 보러 가자.
그래! 같이 보러 가서 신나게 뮤지컬 영화를 감상하자!
응! 그리고 영화가 성공하면 다른 뮤지컬도 영화로 제작될 수 있을 것 같아.
맞아! 다른 뮤지컬도 영화로 만나면 더 많은 사람들이 즐길 수 있을 텐데.
그렇지! 뮤지컬은 매력적인 콘텐츠니까 더 많은 사람들이 즐길 수 있으면 좋겠어.
맞아! 뮤지컬은 레알루다가 멋진 예술이야. 앞으로도 더 많은 뮤지컬을 기대해봐야겠다!"
5487,문화 생활 및 여가,영화,"오늘 영화 볼래?
응! 어떤 영화 볼까?
알프레드 히치콕과 프랑수아 트뤼포 영화 상영 중이래
히치콕과 트뤼포의 영화? 흥미로워!
그래! 히치콕의 트뤼포, 트뤼포의 히치콕이라는 특별전이야
와! 그럼 히치콕과 트뤼포의 작품을 볼 수 있겠네
응! 다큐멘터리도 상영한대
다큐멘터리도 꼭 봐야겠어
히치콕과 트뤼포의 역사적인 대담이 담긴 영화야
대담이라니! 렬루 기대돼
영화의전당에서 개최되는 거래
영화의전당? 그곳에서 상영되는 영화들은 항상 좋아
맞아! 영화의전당에서는 다양한 영화를 볼 수 있어
그러면 오늘 영화의전당으로 가자!
좋아! 영화 관람하러 가자
히치콕과 트뤼포의 영화를 같이 감상하자"
5194,문화 생활 및 여가,연극,"연극 좋아해?
응, 연극은 짜짜 멋있어!
나도 연극을 좋아해. 최근에 어떤 연극을 본적 있음?
지난 주에 '무대 위의 책'을 보러 갔어. 레알루다가 인상 깊었어!
그 연극에 대해 많은 사람들이 칭찬하더라
마좌 연극 비평을 다룬 책이라는데 레알 흥미로웠어
나도 읽어봐야겠다. 연극에 대한 새로운 시선을 얻을 수 있을 것 같아
렬루다가 추천해! 무대 위에서 햄릿이 읽는 책을 다루고 있어
와우내 흥미로운 소재인 것 같아. 연극은 진정한 예술이야
맞아 무대 위에서 펼쳐지는 연극은 레알루다가 매력적이지
연극을 보면 마음이 편해지고 새로운 자극을 받는 느낌이 들어
그렇지, 연극은 현실에서 벗어나 새로운 세계로 빠져들게 해줘
연극을 보면서 여러 감정을 느낄 수 있어 레알루다가 좋아
마좌 연극은 감정을 표현하는데 렬루 효과적이지
다음에 같이 연극 보러 가자!
좋아! 다음 주에 시간이 되면 꼭 연극 보러 갈게"
6715,미용과 패션,향수,"향수 좋아?
응, 향수는 좋지
나도 향수 좋아해
어떤 향수가 좋아?
클래식한 우디-앰버 향조가 좋아
우디-앰버 향조가 뭐임
우디는 목재 향, 앰버는 암바 그 잡채야
그런 향수 어디서 살 수 있어?
앰브로스나이드라는 물질로 만든 향수가 최근에 나왔어
앰브로스나이드는 무야?
향수에서 클래식한 우디-앰버 향을 전해주는 물질이야
향수 만들기가 어려워?
예전에 비해 효율적으로 대량으로 만들 수 있게 됐대
그러면 더 많은 향수를 즐길 수 있겠네
마좌 다양한 향수를 즐길 수 있게 됐어
향수는 렬루 멋진 거야"
